,Live,time_group,LIX,Nyhedsbureau,LIX_Headline,Category_Business,Category_Krimi,Category_Politik,Category_Samfund,Category_Sport,Category_Udland,Category_Underholdning,Category_Vejr,IsBoy
68,0,2,48.321629468336056,0,35.57142857142857,0,0,1,0,0,0,0,0,1
69,0,2,38.50394088669951,0,29.181818181818183,0,0,0,1,0,0,0,0,1
70,0,2,38.95976154992549,0,29.0,0,0,0,1,0,0,0,0,0
71,0,2,38.72311827956989,1,33.0,0,1,0,0,0,0,0,0,0
72,0,2,35.515306122448976,1,39.333333333333336,0,0,0,1,0,0,0,0,0
73,0,2,40.03618421052632,1,64.55555555555556,0,0,0,0,0,1,0,0,0
74,0,2,40.47647733792312,0,58.0,0,0,0,1,0,0,0,0,1
75,0,2,37.881540178979925,0,33.0,0,0,0,0,0,0,1,0,0
76,0,1,45.07364565259302,0,40.0,0,0,0,0,0,1,0,0,1
77,0,1,44.53225806451613,1,54.0,0,0,1,0,0,0,0,0,0
78,0,1,42.28228840125392,1,25.0,0,0,0,0,0,1,0,0,0
81,0,3,46.30231001004352,0,56.45454545454545,0,0,0,1,0,0,0,0,1
82,0,3,39.59780955278369,0,31.22222222222222,0,0,0,1,0,0,0,0,0
83,0,3,40.62617702448211,0,28.285714285714285,0,0,0,0,0,1,0,0,1
84,0,3,45.23086124401914,0,53.44444444444444,0,0,0,0,0,1,0,0,1
85,0,3,42.82797744890768,0,38.27272727272727,0,0,1,0,0,0,0,0,1
86,0,3,40.29130170031383,0,20.11111111111111,0,0,0,0,0,1,0,0,1
87,0,3,46.11912983425415,0,45.5,0,0,0,1,0,0,0,0,1
88,0,3,41.29987508922199,0,56.0,0,0,0,1,0,0,0,0,1
89,0,2,43.03452191687486,0,45.0,0,0,0,1,0,0,0,0,0
90,0,2,52.08717725558456,0,20.5,0,0,0,0,0,1,0,0,1
91,0,2,42.68913290420295,1,20.11111111111111,0,0,0,1,0,0,0,0,0
92,0,2,32.88796085379229,0,31.22222222222222,0,0,0,1,0,0,0,0,1
93,0,2,41.8900053284616,1,64.14285714285714,0,0,0,1,0,0,0,0,0
94,0,2,42.10322822822823,0,56.0,0,0,0,1,0,0,0,0,1
95,0,2,39.1234950120399,0,51.46153846153846,0,0,0,1,0,0,0,0,1
96,0,2,44.87208201892744,1,45.0,0,0,0,1,0,0,0,0,0
97,0,2,42.15515653775322,0,28.333333333333336,0,0,0,0,0,1,0,0,1
98,0,1,46.66947960618847,0,64.14285714285714,0,0,1,0,0,0,0,0,1
99,0,1,41.02083333333333,1,30.0,0,0,0,0,0,1,0,0,0
102,0,3,40.675264648874304,0,40.0,0,0,0,0,0,1,0,0,1
103,0,3,39.890725436179984,1,49.85714285714285,0,1,0,0,0,0,0,0,0
104,0,3,39.20348563353745,0,52.294117647058826,0,0,0,1,0,0,0,0,1
105,0,3,34.53846153846154,1,21.285714285714285,0,0,0,0,0,1,0,0,0
106,0,3,42.027472527472526,0,45.333333333333336,1,0,0,0,0,0,0,0,1
107,0,3,38.4995294560512,0,36.07692307692308,0,0,0,0,0,1,0,0,1
108,0,3,46.58913862906604,0,45.5,0,0,0,1,0,0,0,0,1
109,0,3,43.94372294372295,0,36.07692307692308,0,0,0,0,0,1,0,0,0
110,0,3,46.81144781144781,0,45.333333333333336,0,0,0,0,0,1,0,0,1
111,0,3,52.31225296442688,0,65.0,0,0,0,0,0,1,0,0,1
112,0,3,38.02116402116402,1,37.0,0,0,0,0,0,1,0,0,0
113,0,3,32.49885286783042,0,29.526315789473685,0,0,0,0,0,0,1,0,0
114,0,3,41.15349507566658,1,45.5,0,1,0,0,0,0,0,0,0
115,0,3,46.43669250645995,0,39.333333333333336,0,0,0,0,0,1,0,0,0
116,0,3,46.82059061488673,1,53.44444444444444,0,0,1,0,0,0,0,0,0
117,0,3,45.14706723891273,1,53.44444444444444,0,0,1,0,0,0,0,0,0
118,0,3,50.60714285714285,1,79.0,0,0,0,1,0,0,0,0,0
119,0,3,49.03921568627451,1,60.0,0,0,0,1,0,0,0,0,0
120,0,3,43.60237455197132,1,56.0,0,0,0,1,0,0,0,0,0
121,0,3,52.934611697027805,0,58.0,0,0,1,0,0,0,0,0,1
122,0,2,38.43127896520716,0,28.384615384615387,0,0,0,1,0,0,0,0,0
123,0,2,38.23168810711473,1,49.85714285714285,1,0,0,0,0,0,0,0,0
124,0,2,34.59247757073844,1,45.5,0,1,0,0,0,0,0,0,0
126,0,2,39.44871794871795,1,78.42857142857143,0,1,0,0,0,0,0,0,0
127,0,2,41.76923076923077,1,53.44444444444444,0,0,0,1,0,0,0,0,0
128,0,2,47.5,1,64.14285714285714,0,0,1,0,0,0,0,0,0
129,0,2,35.844882729211086,1,64.14285714285714,0,0,0,1,0,0,0,0,0
130,0,2,50.99340937896071,1,58.0,1,0,0,0,0,0,0,0,0
131,0,2,41.06503291299865,0,42.333333333333336,0,0,0,1,0,0,0,0,0
132,0,2,54.276021784496365,0,56.45454545454545,0,0,0,0,0,1,0,0,1
133,0,2,39.87764112267424,1,47.36363636363637,1,0,0,0,0,0,0,0,0
134,1,2,28.93770084721005,0,69.66666666666667,0,0,1,0,0,0,0,0,1
135,0,2,44.1062106210621,0,103.0,1,0,0,0,0,0,0,0,1
136,0,2,42.77884143348061,0,65.0,0,0,0,1,0,0,0,0,0
137,0,2,40.87878787878788,0,37.0,0,0,0,1,0,0,0,0,0
138,0,2,48.03333333333333,0,58.0,0,0,0,1,0,0,0,0,1
140,0,2,39.9653825670158,0,59.15384615384615,0,0,0,0,0,1,0,0,1
141,0,2,35.88461538461539,1,29.181818181818183,0,0,0,1,0,0,0,0,0
142,0,2,43.72522522522523,1,50.0,0,0,1,0,0,0,0,0,0
143,0,2,46.76369327073553,1,50.0,0,0,0,1,0,0,0,0,0
144,0,1,44.77272727272727,0,47.36363636363637,0,0,0,0,0,1,0,0,0
145,0,1,43.01875965570514,1,29.181818181818183,0,0,1,0,0,0,0,0,0
146,0,1,47.57793734239432,0,35.57142857142857,0,0,0,0,0,1,0,0,1
147,0,1,39.223131265908265,0,46.41176470588235,0,0,0,0,0,1,0,0,1
148,0,1,47.97753036437247,1,54.0,0,0,0,0,0,1,0,0,0
149,0,1,49.78523650262781,1,40.0,0,0,0,0,0,1,0,0,0
150,0,1,38.76948590381426,1,56.0,0,0,0,0,0,1,0,0,0
151,0,1,47.07542914421752,1,45.5,0,0,0,0,0,1,0,0,0
154,0,3,51.53221288515407,1,42.333333333333336,0,0,0,0,0,1,0,0,0
155,0,3,43.39300873907615,0,56.45454545454545,1,0,0,0,0,0,0,0,1
156,0,3,58.48089439428931,0,53.44444444444444,0,0,0,0,0,1,0,0,1
157,0,3,43.596239265620376,1,49.85714285714285,0,0,0,0,0,1,0,0,0
158,0,3,33.85171261487051,1,20.5,0,1,0,0,0,0,0,0,0
159,0,3,44.159408317913474,0,42.333333333333336,0,0,0,0,0,1,0,0,1
160,0,3,44.81942371713925,0,35.42857142857143,0,0,0,1,0,0,0,0,1
161,0,3,41.31597258829731,0,58.0,0,0,0,1,0,0,0,0,1
162,0,3,42.323810374073744,0,37.0,0,0,0,1,0,0,0,0,1
163,0,3,47.6281179138322,0,30.0,0,0,0,1,0,0,0,0,0
164,0,3,44.54622537213251,0,35.0,0,0,0,1,0,0,0,0,0
165,0,3,52.78947368421053,0,31.22222222222222,1,0,0,0,0,0,0,0,1
166,0,3,34.39061238611464,1,58.0,0,1,0,0,0,0,0,0,0
167,0,3,41.08812761506276,0,47.36363636363637,0,0,0,0,0,1,0,0,1
168,0,2,40.13145013858583,0,35.0,0,0,0,1,0,0,0,0,0
169,0,2,43.07862093063887,0,28.285714285714285,0,0,0,0,0,0,0,0,0
170,0,2,50.70083857442348,0,83.0,0,0,0,0,0,1,0,0,1
171,0,2,34.20086848968836,0,41.0,0,1,0,0,0,0,0,0,1
172,0,2,45.4042010208088,1,79.0,0,0,0,1,0,0,0,0,0
173,0,2,36.76382165605096,1,20.11111111111111,0,1,0,0,0,0,0,0,0
174,0,2,38.69223907225691,1,28.666666666666668,0,0,0,0,0,1,0,0,0
175,0,2,43.30528375733856,0,21.285714285714285,0,0,0,1,0,0,0,0,0
176,0,2,39.19347609561753,0,53.5,0,0,0,0,0,1,0,0,0
177,0,2,50.152204836415365,0,14.142857142857142,0,0,1,0,0,0,0,0,1
178,0,2,47.23373520147713,1,21.884615384615387,0,0,0,0,0,1,0,0,0
179,0,2,38.19462916252643,0,60.0,0,0,0,0,0,0,1,0,0
180,0,2,45.236539440203565,0,33.0,1,0,0,0,0,0,0,0,1
181,0,1,44.830817610062894,1,45.5,1,0,0,0,0,0,0,0,0
182,0,1,43.91718426501035,0,51.46153846153846,0,0,0,1,0,0,0,0,1
183,0,1,43.41632928475033,1,45.5,0,0,0,1,0,0,0,0,0
184,0,1,47.55895610913405,1,40.0,0,0,0,0,0,1,0,0,0
186,0,1,45.31742671009772,1,54.0,0,0,0,0,0,1,0,0,0
187,0,1,40.682334421793485,0,34.833333333333336,0,0,0,1,0,0,0,0,1
188,0,1,59.6524064171123,1,56.0,0,0,0,0,0,1,0,0,0
189,0,1,35.20229555236729,1,30.0,0,0,0,1,0,0,0,0,0
190,0,3,49.00081300813008,1,20.0,0,0,0,0,0,1,0,0,0
191,0,3,48.6633281972265,1,45.0,1,0,0,0,0,0,0,0,0
192,0,3,44.84313725490196,0,41.66666666666667,1,0,0,0,0,0,0,0,1
193,0,3,38.35015290519878,0,42.333333333333336,0,0,0,1,0,0,0,0,0
194,0,3,39.01940978411567,1,39.333333333333336,0,0,0,0,0,1,0,0,0
195,0,3,45.72906197654942,1,65.0,0,0,0,0,0,1,0,0,0
196,0,3,46.41176470588235,0,70.0,0,0,0,1,0,0,0,0,0
197,0,3,36.484593837535016,0,45.333333333333336,0,0,0,1,0,0,0,0,1
198,0,3,48.12488769092543,0,21.285714285714285,0,0,1,0,0,0,0,0,0
199,0,3,46.02300586866687,0,46.41176470588235,0,0,0,0,0,1,0,0,1
200,0,3,38.78333333333333,0,28.384615384615387,0,0,0,0,0,0,1,0,0
202,0,3,51.39676113360324,1,20.5,0,0,0,1,0,0,0,0,0
203,0,3,32.532323850311,0,66.0,0,0,0,1,0,0,0,0,1
204,0,3,45.8093023255814,1,58.0,0,0,0,1,0,0,0,0,0
205,0,2,31.31897926634769,0,33.0,0,0,0,1,0,0,0,0,1
206,0,2,45.64201867085683,0,22.666666666666668,0,0,0,0,0,1,0,0,1
207,0,2,35.37917222963952,0,56.45454545454545,0,0,0,1,0,0,0,0,0
208,0,2,39.35767326732673,1,29.181818181818183,0,1,0,0,0,0,0,0,0
209,0,2,38.489809555629805,0,85.0,0,0,0,1,0,0,0,0,0
210,0,2,48.67496190959878,1,33.0,0,0,0,1,0,0,0,0,0
211,0,2,50.64542154094393,0,56.45454545454545,0,0,0,0,0,1,0,0,1
212,0,2,45.30867709815078,1,53.44444444444444,0,0,0,0,0,1,0,0,0
213,0,2,43.7875816993464,1,39.333333333333336,0,1,0,0,0,0,0,0,0
214,0,2,38.19047619047619,0,53.66666666666666,0,0,0,0,0,1,0,0,1
215,0,2,38.188854489164086,0,33.0,0,0,0,1,0,0,0,0,1
216,0,2,37.18245283422918,0,45.77777777777778,0,0,0,0,0,0,0,0,0
217,0,2,55.48985297162974,0,60.0,0,0,0,1,0,0,0,0,1
218,0,2,51.16399286987522,1,103.0,0,0,1,0,0,0,0,0,0
219,0,2,35.21921975662133,0,36.07692307692308,0,0,0,0,0,1,0,0,1
220,0,2,44.83838724168913,1,54.0,1,0,0,0,0,0,0,0,0
221,0,2,43.64100166251039,0,35.42857142857143,0,0,0,1,0,0,0,0,0
222,0,2,40.60080814241604,0,45.333333333333336,0,0,0,1,0,0,0,0,1
223,0,1,39.691039032435405,0,7.0,0,0,0,1,0,0,0,0,1
224,1,1,53.3620082815735,0,39.333333333333336,0,0,0,0,0,1,0,0,1
225,0,1,47.2576260948354,0,78.66666666666667,0,0,0,1,0,0,0,0,0
226,0,1,37.38461538461539,1,78.42857142857143,0,0,0,1,0,0,0,0,0
227,0,1,41.979311846689896,1,28.666666666666668,0,0,0,0,0,1,0,0,0
228,0,1,44.96770025839793,1,33.0,0,0,0,0,0,1,0,0,0
229,0,1,45.97171892012619,0,22.5,0,0,0,1,0,0,0,0,1
230,0,3,52.789946841776114,0,56.45454545454545,0,0,0,0,0,1,0,0,0
231,0,3,36.97815640017475,0,72.66666666666667,0,0,0,1,0,0,0,0,1
232,0,3,38.49355892648775,0,20.0,0,0,0,0,0,0,0,0,1
233,0,3,44.85528455284553,0,58.0,0,0,0,1,0,0,0,0,0
234,0,3,42.96107588016619,1,40.0,0,0,0,0,0,1,0,0,0
235,0,3,46.31994949032813,0,53.44444444444444,0,0,0,1,0,0,0,0,1
236,0,3,43.72695258019526,0,43.76923076923077,0,0,1,0,0,0,0,0,0
237,0,3,46.1247723132969,0,72.66666666666667,0,0,1,0,0,0,0,0,0
238,0,3,38.68327316486161,0,45.5,0,0,0,1,0,0,0,0,1
239,0,3,40.97839942278207,0,90.0,0,0,0,0,0,1,0,0,1
240,0,3,40.054409005628514,1,30.0,0,1,0,0,0,0,0,0,0
241,0,3,49.17811069496463,0,70.5,0,0,0,0,0,1,0,0,1
242,0,3,43.06562266964952,1,58.0,0,1,0,0,0,0,0,0,0
243,0,2,41.31602093075039,0,78.42857142857143,0,0,1,0,0,0,0,0,0
244,0,2,39.223378839590445,0,49.85714285714285,0,0,0,0,0,1,0,0,1
245,0,2,45.70323928944619,0,78.42857142857143,0,0,0,1,0,0,0,0,1
246,0,2,43.67062937062937,1,40.0,0,1,0,0,0,0,0,0,0
247,0,2,47.69607843137255,0,65.0,0,0,0,0,0,1,0,0,1
248,0,2,50.99520069808028,1,40.0,0,0,0,1,0,0,0,0,0
250,0,2,47.37998303647159,1,20.0,1,0,0,0,0,0,0,0,0
251,0,2,51.3072276462738,0,58.0,0,0,0,1,0,0,0,0,1
252,0,2,41.71860896196003,0,53.44444444444444,0,0,0,0,0,1,0,0,1
253,0,2,30.37433946311562,0,31.22222222222222,0,0,0,1,0,0,0,0,0
254,0,2,46.92241155288265,0,50.0,0,0,0,1,0,0,0,0,0
255,0,2,31.971264367816094,0,37.0,0,0,0,1,0,0,0,0,0
256,0,2,39.96592592592593,0,49.85714285714285,0,0,0,1,0,0,0,0,1
257,0,2,40.64520204724072,0,28.285714285714285,0,0,0,0,0,1,0,0,0
258,0,2,47.16698445291874,0,45.5,0,0,1,0,0,0,0,0,1
259,0,2,51.79032258064516,1,56.45454545454545,0,0,1,0,0,0,0,0,0
260,0,1,51.47619047619048,0,104.0,0,0,0,1,0,0,0,0,0
261,0,1,44.833503575076605,1,45.5,0,0,0,1,0,0,0,0,0
262,0,1,50.142857142857146,1,53.44444444444444,0,0,0,0,0,1,0,0,0
264,0,1,40.03926116387679,0,34.833333333333336,0,0,0,1,0,0,0,0,1
265,0,3,40.73499103942652,0,74.63636363636363,0,0,0,0,0,1,0,0,0
266,0,3,40.02347665523608,1,42.333333333333336,0,0,0,1,0,0,0,0,0
267,0,3,48.702900895071714,0,37.0,0,0,0,0,0,1,0,0,1
268,0,3,35.41165667482902,0,35.0,0,0,0,1,0,0,0,0,0
269,0,3,40.85142241914779,0,64.55555555555556,0,0,0,1,0,0,0,0,1
270,0,3,41.43454752418896,0,51.46153846153846,0,0,0,1,0,0,0,0,0
