Authors,Headline,Time,Live,All_text,Category
Christian Kjær,Landstræner forbander dansk fejl langt væk,2023-08-12T16:39:52.212Z,0,"['De danske ryttere vidste ikke, at årets U23-verdensmester blev fundet fra morgenudbruddet.', 'De ville angribe og spille ud efter 30 kilometer.', 'Det mindre gode for det danske U23-landshold var så, at der var nogle andre stærke ryttere, der gjorde det efter 20 kilometer, hvor de danske ryttere så ikke var med.', 'Fra dette ”morgenudbrud” vandt franske Axel Laurance VM-guld, mens flere af de andre fra udbruddet også sad med i finalen. Dette irriterede og frustrerede den danske landstræner efter løbet, da Danmark slet ikke endte med spille en rolle i finalen.', '- Det er altid skuffende ikke at være med i den del af cykelløbet, hvor det er sjovt. Det kan man godt sige, at vi ikke var i dag. Jeg synes, at Kasper Andersen fik kørt et rigtig godt cykelløb og er virkelig god til at køre rundt på sådan en omgang, siger Anders Lund til TV 2 Sport.', '- Men jeg forbander det langt væk, at vi ikke var med i den timandsgruppe, der kørte. Det skal vi være. Man kan ikke forudsige, at sådan en gruppe holder hjem. Men det var planen, at vi skulle være repræsenteret i noget af det, der kørte tidligt. Det lykkedes ikke, og det havde givet os et helt andet cykelløb', 'Er det overblikket, der mangler, eller sidder de og sover?', '- Det handler om at vurdere, hvem der kører, fordi vi vil ikke i morgenudbrud med ryttere, der ikke kan komme langt i cykelløbet. Men det er klart, at når der sidder en italiener, en brite og to franskmænd, så er det en god gruppe. Det var topnavne, der kørte, og der skulle vi være der, siger landstræneren.', 'Kasper Andersen blev bedste dansker på en 24.-plads.', 'Da Danmark missede det stærke udbrud, måtte de forsøge på noget hos forfølgerne. Men det blev forpurret, da de blev ramt af uheld.', '- Vi ramte en række uheld med styrt og punkteringer, så det kun var Kasper, der sad der til sidst. Anders Foldager fik en punktering på et tidspunkt, og han var brølhamrende stærk i kortegen, og han lignede en, der kunne have været med blandt de bedste. Men man må sige, at alle kom på bagkant af dem, der ikke var med.', '- Vi ville køre efter 30 kilometer for at sætte gang i den. Men planen var også, at vi skulle være opmærksomme fra start, og det kiksede, siger Lund.', 'Det er på mange måder sundt at få nogle på munden og ramme ved siden af skiven', 'Der er ingen radiokommunikation, når der køres VM. Derfor blev det svært for rytterne at danne sig et overblik, når der blev angrebet i højre og venstre side af vejen i starten.', 'Det manglende overblik betød, at de danske ryttere ikke vidste, at guldvinderen blev fundet fra det tidligere udbrud.', 'Carl-Frederik Bévort: - Der var kaos i starten, og det var hektisk. Jeg kom afsted på bakken, og det var også planen. Men jeg endte med at bruge mange kræfter.', 'Var I opmærksomme nok i starten, hvor vindergruppen reelt kører?', '- Okay, det vidste jeg faktisk ikke, at de gjorde.', 'Axel Laurance endte med at vinde…', '- Nå, okay. Jeg troede faktisk… Nåå, jeg er lidt overrasket så. Nej, så har vi ikke været vågne nok. Vi snakkede om, at vi ville køre på bakken, fordi morgenudbruddet ikke ville være af god nok kvalitet. Men det var så ikke rigtigt åbenbart.', 'Anders Foldager: - Jeg tror, at de kørte kontra på en gruppe, hvor jeg var med. Så jeg så ikke rigtigt, at de kørte væk. Vores plan var kun at være med i morgenudbruddet, hvis det var nogle stærke ryttere, der kørte. Jeg så ikke rigtig, hvem der slap væk. Vi skulle have været med i det.', 'Landstræner Anders Lund mener, at danskerne kan bruge nedturen til mere fremadrettet, end hvis de havde vundet.', '- Det er på mange måder sundt at få nogle på munden og ramme ved siden af skiven, fordi så bliver man nødt til at kigge på, hvad man gjorde galt. Læringen i dag er jo nærmest større, end hvis alt kørte, og vi havde to mand på podiet. Men det er en bitter pille at sluge og ikke det, vi havde håbet på. Det gør ondt, at vi ikke er med i finalen, siger Lund.', 'Kun tre danskere gennemførte løbet. Carl-Frederik Bévort kom i mål som sidste mand, 19 minutter og 55 sekunder efter guldvinderen fra Frankrig.']",Sport
Ritzau,Pidcock detroniserer legende og tager VM-guld,2023-08-12T16:14:47.477Z,0,"['Den britiske cykelrytter Tom Pidcock fulgte OL-guldet i mountainbike fra 2021 op med at vinde VM-guld.', ""Team Ineos' Tom Pidcock droppede landevejsløbet ved årets VM i cykling for at gå efter VM-guld på mountainbike. Den satsning gav pote."", 'Briten kørte et perfekt disponeret løb og tog guldet foran New Zealands Samuel Gaze og den schweiziske legende Nino Schurter.', 'Forhåndsfavoritten Mathieu van der Poel, som i søndags vandt et suverænt VM i linjeløb, styrtede i et sving efter blot tre minutter og udgik. Ved OL i 2021 styrtede og udgik van der Poel også af mountainbikeløbet.', 'Danskerne Sebastian Fini Carstensen og Simon Andreassen sluttede langt tilbage som henholdsvis nummer 34 og 61.', 'Mens danskerne ikke kunne blande sig i medaljestriden, skilte fire ryttere sig tidligt ud.', 'Pidcock, som vandt OL-guldet i 2021, Alan Hatherly fra Sydafrika, schweiziske Nino Schurter og Frankrigs Jordan Sarrou var midtvejs et halvt minut foran de næste.', 'Sarrou måtte lade sig falde tilbage, og på den sjette af de otte omgange efter knap en times kørsel måtte Alan Hatherly også give slip.', 'Den olympiske mester blev ved med at trykke hårdt på, og ikke længe efter måtte den levende mountainbike-legende Nino Schurter slippe Pidcocks hjul.', 'Den tifoldige verdensmester og ottedobbelte World Cup-vinder i disciplinen havde ikke fået disponeret kræfterne - eller også mødte han bare sin overmand.', 'Bagfra havde New Zealands Samuel Gaze, verdensmesteren på maratondistancen, fået fart i cyklen i den sidste halvdel af løbet. Han gik forbi først Hatherly og siden også Schurter, hvorefter han satte jagten ind på Pidcock.', ""Han løb dog tør for rute til sidst, og den tidligere verdensmester i mountainbike på U23-niveau har nu også en VM-titel for eliteryttere på cv'et."", 'Hos kvinderne blev danskerne Malene Degn og Caroline Bohé henholdsvis nummer 15 og 18, mens franske Pauline Ferrand Prevot tog guldet.']",Sport
Ritzau,Dansker kørt på hospitalet efter alvorligt uheld,2023-08-12T16:07:02.309Z,0,"['Anders Thomsen styrtede alvorligt i et af de indledende heats og er udgået af det lettiske grandprix i Riga.', 'Det lettiske speedwaygrandprix i Riga har fået en dramatisk indledning på lørdagens løb.', 'Danske Anders Thomsen styrtede voldsomt i løbets blot andet heat og er kørt på hospitalet med ambulance.', 'Den danske kører mistede herredømmet over cyklen. Han ramte barrieren med høj fart og fløj ud over både styret og barrieren.', '- Han er på hospitalet, og vi er ikke helt sikre på, hvad der er sket. Men han bevæger i hvert fald arme og ben og har fået en nakkekrave på for at beskytte, siger landstræner Nicki Pedersen.', '- Men han var meget omtåget og kunne ikke huske, hvad der lige var sket, så det er klart, at han har slået hovedet.', 'Anders Thomsen blev transporteret på en båre ind i en ambulance og efterfølgende kørt til hospitalet.', '- Det er måske en hjernerystelse og måske en kraftig forstuvning eller brækket håndled. Og hvis han slipper med det, så tror jeg, han vil være glad for det, siger Nicki Pedersen.', 'Det er anden gang på under et år, at Anders Thomsen styrter voldsomt.', 'I august sidste år havde danskeren også et alvorligt styrt ved et løb i Glasgow i Skotland. Her pådrog Anders Thomsen sig et åbent skinnebensbrud.', 'Mikkel Michelsen fik skrabet syv point sammen i de indledende heats, hvilket ikke var nok til en semifinale.', 'Lidt bedre gik det for viceverdensmester Leon Madsen, der gik i semifinalen med ni point i de indledende heats. Danskeren endte dog som nummer sjok i den første semifinale, hvilket gav en samlet 7.-plads i grandprixet.']",Sport
Jacob Nordestgaard Lage,Contador pustede til Evenepoel-rygter – nu reagerer holdejer,2023-08-12T15:44:22.919Z,0,"['Remco Evenepoel har kontrakt med Soudal - Quick-Step til udgangen af 2026.', 'Ifølge den tidligere cykelstjerne Alberto Contador er det en åben hemmelighed, at Remco Evenepoel skifter hold til næste år.', 'Det sagde han i sin rolle som ekspert på Eurosport i kølvandet på belgierens VM-triumf i enkeltstart fredag. Spanieren satte tilmed navn på Evenepoels næste destination: INEOS. ', 'Det britiske hold skulle ligeledes have planer om at hive flere af Evenepoels holdkammerater med sig, lod Contador forstå.', 'Den bemærkelsesmæssige udtalelse er naturligvis ikke gået ubemærket hen hos Evenepoels nuværende hold, Soudal - Quick-Step. En ordkrig har holdejer Patrick Lefevere aldrig været bange for at gå ind i, og i sin faste klumme på Het Nieuwsbladlægger han da heller ikke skjul på sin manglende begejstring over Contador.', '- Jeg har hørt, at Alberto Contador i al sin visdom mente, at det var klogt at sige på tv, at Remco skal køre for INEOS til næste år. Jeg vil ikke spilde flere ord på den historie, skriver Lefevere.', 'Rygterne er også nået frem til hovedpersonen selv, og han er også træt af dem. Det gjorde Evenepoel klart efter sin VM-triumf. Han orker ikke at høre dem mere – særligt ikke under det kommende Vuelta a España.', '- Jeg håber, det stilner af. Vueltaen er et treugersløb, og hvis jeg skal høre på det samme lort i tre uger, bliver det et langt løb, lød det fra Evenepoel fredag.', '23-årige Evenepoel har kørt for Quick-Step siden 2019 og har kontraktudløb med holdet i udgangen af 2026.']",Sport
Ritzau,Franskmand bliver U23-verdensmester efter monsterangreb,2023-08-12T15:03:17.302Z,0,"['Axel Laurance formåede at holde en jagtende kvintet bag sig i linjeløbet for U23-ryttere ved VM.', 'Den franske cykelrytter Axel Laurence blev lørdag verdensmester for U23-ryttere.', 'Den 22-årige Alpecin-rytter kørte alene afsted med omkring 25 kilometer tilbage og holdt en jagtende forfølgergruppe bag sig med få sekunder.', 'Antonio Morgado fra Portugal tog sølv, mens slovakken Martin Svrcek fik bronze i spurten.', 'Ruten bestod af 168,4 kilometer og blev rundet af med syv omgange i Glasgow, hvor seks danskere stillede til start.', 'De fik ikke for alvor gjort noget væsen af sig. Mest sejlivet var Kasper Andersen, der sad længst tid med i feltet og sluttede som nummer 24. De øvrige fem blev enten sat af relativt hurtigt eller udgik af løbet.', 'Flere grupper sad foran undervejs og jagtede hinanden, og med godt 25 kilometer tilbage blev det alvor, da Axel Laurance stak afsted.', 'Franskmanden fik hurtigt skabt et godt hul, og med godt 20 kilometer tilbage, var han oppe at føre med 20 sekunder til de nærmeste forfølgere. Da var feltet med Kasper Andersen halvandet minut efter.', 'Da Laurance kørte ud på sidste omgang, der strakte sig over 14 kilometer, førte han med 26 sekunder til en jagtende kvintet. Feltet med Andersen var mere end to minutter efter og havde udspillet sin chance.', 'Men den jagtende kvintet begyndte at nærme sig. Forspringet blev reduceret til omkring 15 sekunder, men da der for ofte gik taktik i forfølgelsen, fik Laurance ny luft.', 'På opløbsstrækningen formåede han lige netop at holde forfølgerne bag sig med to sekunder.', 'Laurance havde givet alt. Han havde ingen kræfter til at juble og kastede op få sekunder efter afslutningen.', 'Det er femte gang, at en franskmand bliver U23-verdensmester.', 'Danmark har aldrig haft en U23-verdensmester hos herrerne. Den seneste medaljetager var Michael Carbel Svendgaard, der i 2017 hentede bronze i Bergen.', 'VM afsluttes søndag, hvor blandt andet kvindernes linjeløb er på programmet.']",Sport
Joachim Glenthøj,Van der Poel styrter og udgår af VM,2023-08-12T14:57:22.463Z,0,"['Van der Poel var den store favorit til at vinde VM i mountainbike.', 'I sidste weekends landevejsløb styrtede Mathieu van der Poel på sin vej mod VM-guldet, men hollænderen kom hurtigt på cyklen, og styrtet fik ikke konsekvenser.', 'Anderledes gik det lørdag, hvor van der Poel var favorit til at vinde VM i mountainbike på den olympiske distance.', 'Allerede efter to minutter af løbet styrtede van der Poel i et sving og måtte dermed se sin drøm om to regnbuetrøjer på én uge forsvinde.', 'Van der Poel skred uforstyrret ud i et sving, men han blev siddende på gruset. Lidt efter kunne man se van der Poel rulle tilbage i målområdet med skrammer i ansigtet.', '- Det er lige præcis her, at det er vigtigt at have kørt en del på mountainbike. Det er bare et simpelt grussving. Når du ikke har kørt så meget, kommer du til at lave sådan en dum fejl. Dér bøder han for ikke at have kørt mountainbike i to år, siger TV 2 Sports MTB-ekspert Markus Kaad Heuer.', 'Mathieu van der Poel er en af de største stjerner på landevejen. Vintersæsonen bruger han på at køre cykelcross, hvor han blev verdensmester i februar.', 'I skrivende stund er de resterende ryttere i gang med fjerde ud af de otte omgange i VM-løbet.', 'Løbet kan ses på TV 2 Play.']",Sport
Rasmus Lomholt Leth,PSG-træner sender signal: - Klubben er over alt,2023-08-12T14:18:09.359Z,0,"['Tidligere på sommeren bekræftede Kylian Mbappé, at han ikke vil forlænge med PSG.', 'Situationen mellem Paris Saint-Germain og klubbens stjerner spidser til.', ""Således er hverken Kylian Mbappé, Neymar eller Marco Verratti inkluderet i PSG's trup, når Lorient venter i Ligue 1-sæsonåbneren lørdag aften."", '- Klubben er over alt – træneren og spillerne, lød det ifølge flere medier – heriblandt Associated Press (AP) og GOAL – fra den nye cheftræner Luis Enrique fredag med henblik på situationen omkring Kylian Mbappé.', 'Paris Saint-Germain ønsker angiveligt at sælge stjerneangriberen, der selv pønser på at spille sin kontrakt ud. Dén udløber næste sommer, hvorfra Mbappé frit kan forlade hovedstadsklubben.', 'Ifølge transferguruen Fabrizio Romano arbejder Neymar og Paris Saint-Germain på at rive den nuværende kontrakt over, så brasilianeren kan forlade klubben. Romano skriver på X, at Verratti lurer på et skifte til saudiarabisk fodbold.', '- Med henblik på Marco (Verratti, red.) og Neymar holder jeg mine samtaler private. Jeg vil ikke snakke om, hvad jeg fortalte dem, eller hvad de sagde til mig. Men jeg beder jer om at være opmærksomme på mine handlinger. Mine beslutninger vil klart udtrykke mine holdninger, sagde Luis Enrique.', 'Tidligere på sommeren bekræftede Kylian Mbappé, at han ikke vil forlænge med Paris Saint-Germain.', 'Her fortalte Mbappé, at han aldrig har diskuteret en forlængelse med de franske mestre. Klubbens topscorer har en option på yderligere ét år gældende fra næste sommer, men den vil han ikke bruge.', 'Efterfølgende modtog Mbappé et gigantisk bud fra saudiarabiske Al-Hilal, men det blev afvist. Den 24-årige franskmand har længe været rygtet til Real Madrid, men intet konkret er endnu kommet frem om en handel.', 'Mens der er tvivl om fremtiden hos flere af Paris Saint-Germain-stjernerne, kunne klubben lørdag præsentere en ny offensivspiller i Ousmane Dembélé.', 'I Ligue 1, den bedste franske fodboldrække, lukker transfervinduet fredag den 1. september.']",Sport
Ritzau,Arsenal-stjerne åbner sæsonen med drømmemål,2023-08-12T14:12:06.412Z,0,"['De forsvarende PL-sølvvindere imponerede ikke, men fik en 2-1-sejr, da Nottingham Forest lørdag kom på besøg.', 'Uden at sprudle tog Arsenal lørdag hul på Premier League-sæsonen med en 2-1-sejr hjemme på Emirates Stadium mod Nottingham Forest.', 'Hjemmeholdets unge, offensive profil Bukayo Saka stod for kampens store oplevelse med et sandt drømmemål i første halvleg.', 'Der er høje forventninger til den 21-årige Saka i denne sæson, og efter bare en halv times Premier League-fodbold viste han lørdag, hvilke offensive kvaliteter han besidder.', 'Kantspilleren drev bolden ind fra højresiden og sendte den med et knastørt spark uden for feltet over i det lange hjørne til 2-0 til hjemmeholdet.', 'Et par minutter forinden havde Edward Nketiah, der havde fået chancen som spidsangriber, bragt titelaspiranterne i front.', 'Arsenal imponerede dog ikke spillemæssigt i det meste af opgøret.', 'De forsvarende sølvvindere har ellers oprustet hen over sommeren.', 'En af positionerne, de har forstærket, er den defensive midtbane, hvor West Hams Declan Rice er kommet til for en pris, der ifølge Sky Sports lyder på 870 millioner kroner.', 'Den defensive midtbanespiller startede inde i lørdagens opgør.', 'Rice var tæt på at komme på tavlen i sin debut. Med et kvarter tilbage af opgøret ramte han stolpen på et forsøg uden for feltet, mens han et par minutter senere ligeledes var tæt på en scoring med et forsøg i feltet.', 'Med små ti minutter tilbage af kampen bragte Nottingham Forests Taiwo Awoiyi spænding tilbage i opgøret med en reducering, da gæsterne straffede Arsenal i en omstilling.', 'Nottingham Forest kom efterfølgende ikke for alvor tæt på en udligning, og dermed kunne Arsenal lægge ud med en hjemmesejr uden for alvor at imponere.', 'Brighton, der i sidste sæson imponerede med en sjetteplads, fik også en god start på den nye sæson med en hjemmesejr på 4-1 over oprykkeren Luton, der havde Mads Juel Andersen med i de første 75 minutter.', 'Sheffield United, der også er rykket op, tabte hjemme med 0-1 til Crystal Palace, der havde Joachim Andersen på banen i hele kampen.', 'Den tidligere Brøndby-spiller Anis Slimane blev skiftet ind til sin Premier League-debut for Sheffield United efter 80 minutter og gjorde sig bemærket med et gult kort.']",Sport
Rasmus Lomholt Leth,Mæhle-skifte begejstrer ekspert,2023-08-12T13:51:24.438Z,0,"['Sidste dansker har forladt Atalanta i denne omgang.', 'Joakim Mæhle bytter Atalanta BC ud med VfL Wolsburg.', 'Den tyske klub har købt danskeren fri af sin aftale med norditalienerne, og Mæhle er blevet udstyret med en kontrakt, der løber frem til sommeren 2027.', 'Skiftet glæder TV 2 Sports fodboldekspert Jonas Hebo Goldmann.', '- Jeg synes, det er et fedt skifte. Joakim Mæhle har spillet sig gevaldigt op i Atalanta, og han kommer nok fra sin bedste sæson der. Han spillede 34 ud af 38 ligakampe i sidste sæson. Han er blevet meget bedre defensivt, men offensivt har han ikke helt ramt det, som han gjorde på landsholdet i 2021.', '- Det er dog stadig, som om de ikke satsede 100 procent på ham i Atalanta. Nu kommer han til en liga, hvor spillet er lidt mere frem og tilbage end i Italien, og det tror jeg passer rigtig godt til Joakim Mæhle. Han er jo rigtig dygtig offensivt, siger eksperten.', 'Samtidig hæfter Jonas Hebo Goldmann sig ved trinene i Mæhles udvikling.', '- Jeg tror, det er en stor styrke for ham, at han har været i Italien, inden han kommer til Tyskland. Han har fået lagt det defensive på, og nu kommer han til en klub, der kan kæmpe med om de europæiske pladser i Tyskland.', 'Joakim Mæhle kom til Atalanta fra KRC Genk i januar 2021 og nåede i denne omgang 96 kampe for klubben.', 'Nordjydens skifte kommer godt en uge efter, at Rasmus Højlund forlod Atalanta til fordel for Manchester United. Dermed har klubben i øjeblikket ingen danskere på holdkortet.', '- Jeg er nysgerrig på, om han skal være højre- eller venstreback i Wolfsburg. Det har de ikke rigtigt svaret på endnu. Han er jo højrebenet, men på landsholdet spiller han til venstre, så hvor har de tænkt sig at bruge ham?', 'Sådan spørger eksperten sig selv. Det gør han særligt med henblik på handelen i sidste uge, hvor VfL Wolsburg hentede brasilianske Rogério i Sassoulo.', '- Wolfsburg har hentet en anden venstreback i Sassuolo, men han er lidt mere tilbageholden end Mæhle. I princippet kan de jo godt spille begge to, men hvad så med landsholdet, hvis han pludselig skal til at spille fast på højre back i Wolfsburg?', '- Det bliver interessant, om han ender i konkurrence med Rasmus Nissen Kristensen og Alexander Bah, eller om han fortsætter med at spille til venstre på både klub- og landshold.', 'Det bliver vi vel sagtens klogere på, når Wolfsburg åbner Bundesliga-sæsonen hjemme mod Heidenheim 19. august.', '13. august møder klubben TuS Makkabi Berlin i pokalturneringen.']",Sport
Mikkel Asferg,Bak kritiserer danskernes VM-optakt,2023-08-12T12:44:53.389Z,0,"['De danske U23-ryttere havde ikke prøvekørt de sidste 100 kilometer af VM-ruten inden lørdagens linjeløb.', 'Det er ukendt land, når de danske U23-ryttere kommer ind på omgangene i Glasgow under VM i linjeløb.', 'De har nemlig ikke prøvekørt den del af ruten, fortæller landstræner Anders Lund til TV 2 Sport. Det forstår cykelekspert Lars Bak ikke.', '- Jeg synes, at det er lidt amatøragtigt. Vi ved godt, at der er rigtigt meget trafik, og det er et helvede at køre herinde, hvis ruten ikke er lukket af, men hvis jeg skulle have kørt det løb, så ville jeg have været inde at se ruten. Så havde jeg bare brugt ekstra tid på at køre den, fordi den er ret vigtig at kende, siger Lars Bak.', 'Ligesom eliterytterne slutter U23-rytterne deres VM af med en række omgange på den 14,3 kilometer lange rundstrækning i Glasgow. U23-rytterne skal køre rundstrækningen syv gange, og dermed er det størstedelen af deres VM-rute, de ikke har prøvekørt.', '- En ting er at se det på TV, noget andet er at mærke bakkerne. Hvad er gearet, og hvad kommer der lige efter bakkerne? Det kan du ikke helt se på TV, siger Lars Bak.', '- Altså at mærke det selv ville jeg helt sikkert have gjort. Det synes jeg stadig er en psykologisk fordel. Så ved man helt sikkert, hvordan man skal køre.', 'Landstræner Anders Lund mener dog, at U23-rytterne er godt forberedte, selvom UCI ikke har gjort det muligt at prøvekøre ruten på lukkede veje.', '- Det er ens for alle, for både på enkeltstarten og nu har U23’erne ikke har haft mulighed for at se ruterne lukket af. Men vi har gennemgået den rigtigt grundigt på VeloViewer, og de har nærstuderet herreelites løb, så de har nogenlunde styr på det. Men fornemmelsen af at køre igennem får de lov at få, når de kører den første gang, siger Anders Lund til TV 2 Sport.', 'VM i cykling vises direkte på TV 2 Sport og TV 2 Play. U23-løbet kan også følges her.']",Sport
Ritzau,Stort drop hjælper europamestrene i VM-semifinalen,2023-08-12T12:40:22.011Z,0,"['Med en 2-1-sejr over Colombia er England blandt de sidste fire ved VM, hvor Australien venter i semifinalen.', 'Det sidste sydamerikanske håb om en VM-titel ved kvindernes slutrunde i Australien er forduftet. Trods en føring tabte Colombia, kontinentets eneste deltager i knockoutfasen, lørdag 1-2 til England i kvartfinalen.', 'Dermed bliver det europamestrene, som tager den sidste billet til semifinalerne, hvor værtsnationen Australien venter 16. august.', 'Den anden semifinale er et rent europæisk anliggende mellem Spanien og Sverige 15. august.', 'De engelske favoritter dominerede spillemæssigt, men de undertippede colombianske kvinder bed fra sig undervejs.', 'Englands træfsikkerhed var forblevet i omklædningsrummet, og det kom til at bide dem bagi i 44. minut.', 'På et af Colombias første forsøg på mål sejlede en mellemting mellem et skudforsøg og et indlæg fra Leicy Santos ind over Mary Earps i det engelske mål.', 'Earps så ikke helt godt ud i situationen, men det var ingenting sammenlignet med det drop, som seks minutter inde i første halvlegs overtid førte til udligningen.', 'Catalina Pérez kastede sig ned over en bold, som næsten lå stille i feltet, men Colombias keeper fjumrede rundt og tabte den. Efter lidt kluddermor lå den lige foran mål til Lauren Hemp, der let kunne prikke udligningen ind.', 'Pérez leverede ellers et par fine aktioner i kampen, som dog sluttede før tid for hende, da hun skadet måtte udgå midtvejs i anden halvleg.', 'Kort forinden havde Alessia Russo sendt England på sejrskurs med en tør afslutning langs græsset i en lidt spids vinkel.', 'Spillet bølgede frem og tilbage i slutfasen, hvor Colombia jagtede udligningen. Det blev til et par opløb til chancer, men det løb ud i sandet hver gang, og dermed holdt England hele vejen hjem.']",Sport
Mikkel Asferg,"- Sidst jeg var i Royal Arena, var det midt i en moshpit",2023-08-12T11:06:56.724Z,0,"['Danmarks bedste badmintonspillere er i fuld gang med forberedelserne til VM på hjemmebane.', 'Se VM i Danmark på TV 2 Sports kanaler fra 21. til 27. august.', 'Axelsen, Antonsen og alle de andre badmintonstjerner er forberedt på det meste, når de om halvanden uge går ind til VM på hjemmebane.', 'I denne uge har Danmarks bedste spillere eksempelvis trænet om aftenen med masser af tilskuerstøj og rigtige dommere i Brøndby Hallen. På den måde kan de vænne sig til de forhold, der venter ved VM i Royal Arena, der skal lægge gulv til en stor badmintonturnering for første gang.', '- Sidst jeg var i Royal Arena var det midt i en moshpit til en Stormzy-koncert, så jeg har hoppet og danset derinde før. Det bliver spændende at mærke, hvordan det er at spille badminton derinde. Det bliver sjovt, siger Anders Antonsen til TV 2 Sport.', '- Det er fint, at der er lidt flere ting at forholde sig til, tilføjer han om torsdagens aftentræning.', '- Når der kommer måtter på gulvet om sommeren, så ved vi, at det er op mod et mesterskab. Det giver lidt ekstra til træning. Det føles lidt mere realistisk, så man kommer lidt mere i gamemode.', 'Viktor Axelsen bifalder også, at der gøres noget særligt ud af forberedelserne til VM. Selvom spillerne er vant til at spille i både larm og sene aftentimer, så giver det alligevel noget at gøre det i optakten også.', '- Det er rigtigt fint, at vi træner om aftenen for at simulere kampene ved VM. Og så spiller vi med lidt støj, som der normalt er, når vi spiller. Vi gør, hvad vi kan, for at forberede sig bedst muligt, siger Axelsen til TV 2 Sport.', 'Tidligere torsdag var der lodtrækning til VM, hvor Axelsen og Antonsen endte i hver sin halvdel. Det betyder, at de først kan komme til at møde hinanden i finalen.', 'Det er ikke noget, de selv tænker ret meget over. Faktisk tænker de ikke så meget over lodtrækningen endnu.', '- Jeg siger, som jeg altid siger til lodtrækninger: Det kunne sikkert både være bedre og værre. Det er stærke modstandere allerede tidligt, og lige nu er mit fulde fokus på den næste træning, siger Viktor Axelsen.', 'VM i badminton begynder den 21. august. Finalerne spilles søndag den 27. august, og hvis du ikke skal i Royal Arena og larme for danskerne, kan du se turneringen direkte på TV 2 Sport. ']",Sport
Christian Kjær,Guldvinder kaster op efter målstregen,2023-08-12T10:21:55.636Z,0,"['Top-fem', 'This is a modal window.', 'Beginning of dialog window. Escape will cancel and close the window.', 'End of dialog window.', '', '', 'This is a modal window. This modal can be closed by pressing the Escape key or activating the close button.', 'This is a modal window.', 'Beginning of dialog window. Escape will cancel and close the window.', 'End of dialog window.', '', '', 'This is a modal window. This modal can be closed by pressing the Escape key or activating the close button.', '- Det er umuligt at tro på. Det var ikke planen at komme tidligt med i udbruddet, men det var så hårdt med regnen. Jeg fulgte bare med, siger\xa0Axel Laurance efter løbet.', '- Jeg tænkte, at det måske var bedre at være i front. Jeg ventede og ventede, da der stadig var langt til mål. Det var svært at få et stort hul, men jeg formåede at spare lidt på mine kræfter.\xa0', '- Jeg troede ikke på det, før jeg havde 500 meter til mål. Det er utroligt.', 'Kasper Andersen bliver den bedste dansker i løbet, da han bliver nummer 24.', 'Han kommer i mål i en gruppe, 3 minutter og 16 sekunder efter Laurance.', 'Kasper Andersen er også kommet i mål, men vi har ikke fået bekræftet hans placering endnu.', 'Vi kan se, at Antonio Morgado, der fik sølv, er grædefærdig efter målstregen.', 'Det er nok mest af udmattelse - måske også lidt af frustration.', 'Axel Laurance er helt færdig.', 'Han kaster op efter triumfen, og vi kan se, at han er noget afkræftet.', 'Axel Laurance vinder guld foran portugisiske Antonio Morgado. Det ser ud til at være Martin Svrcek, der bliver nummer tre.', 'Milesi kommer lige efter ham, men de er tæt på.', '- Det må være nok nu, siger Christian Moberg.', 'Det dufter af fransk guld.', 'Laurance har stadig et hul!', 'Milesi har nu et hul, men Svrcek er lige efter ham.', 'Milesi sætter jagten ind, og han har Morgado på hjul. Men det er for sent, tror jeg!', 'Der er under to kilometer tilbage. Og Laurance holder stand.', 'Det er stadig slovakken, der ser ud til at være stærkest i feltet.', 'Laurance er inde på den sidste stigning nu.', 'Laurance har 15 sekunder, lyder meldingen nu på.', 'Og der er mange sving her til sidst. Dufter det lidt af fransk guld?', 'Kretschy er hentet igen, og Laurance er stadig 13 sekunder foran.', 'Fire kilometer tilbage for Laurance!', 'Tyskeren er stadig efter franskmanden. Svrcek styrer forfølgelsen.', '- Der er ikke mere tid til taktisk spil, siger Moberg.', 'Kretschy angriber nu hos forfølgerne.', 'Og Laurance er inde på den sidste hårde stigning nu.', 'Der er stadig fem mand, der jagter ham. Franskmanden har omkring 15 sekunder stadig.', 'Svrcek går frem igen, men han sparer sig også lidt for at have noget til finalen.', 'Han har omkring 14-15 sekunder til forfølgerne. Det bliver så tæt! Det kommer til at handle om, hvor meget de forskellige har tilbage i tanken.', 'Enkeltstartsverdensmesteren Milesi angriber, men Svrcek kører kontra.', 'Kretschy kan dog ikke hænge på længere.']",Sport
