,link,title,author,time,category,body,num_of_words
10,https://ekstrabladet.dk/nyheder/samfund/dmi-med-ny-melding-risiko-for-lokale-skybrud/9903066,DMI med ny melding: Risiko for lokale skybrud,Signe Søgaard,2023-08-14 13:10,samfund,"Mens mandag kan blive den første sommerdag i august, ser tirsdag ud til at blive en våd fornøjelse flere steder i landet.DMI har netop udsendt en såkaldt risikomelding, der spår kraftige regn- og tordenbyger, der kan give lokale skybrud tirsdag.Risikomeldingen er gældende fra tirsdag klokken 06 til klokken 14, og det er den sydøstlige del af Danmark, som ser ud til at få et ordentligt regnskyl.Kan give skybrud'Andre dele af landet kan også opleve tordenbyger, som dog ikke ventes at blive helt så kraftige,' oplyser DMI.Før der er tale om skybrud, skal der falde mere end 15 mm regn på 30 minutter.'Varm luft pumper op over Danmark fra syd, samtidig med at en koldfront nærmer sig fra vest. Denne kombination giver gode betingelser for dannelse af kraftige tordenbyger, der kan give lokale skybrud,' lyder meldingen fra DMI.",137
11,https://ekstrabladet.dk/krimi/mand-paakoert-og-stukket-ned-jagter-to-gerningsmaend/9903707,Mand påkørt og stukket ned: Jagter to gerningsmænd,Ditte O.,2023-08-15 04:26,krimi,"Fyns Politi jagter tirsdag morgen to gerningsmænd, efter at en 48-årig mand mandag aften blev påkørt og stukket med en kniv ved pendlerpladsen på Kirstinebjergvej i Årslev.Det oplyser vagtchef Sten Nyland over for Ekstra Bladet.- Vi har noget at gå efter og er fortrøstningsfulde, men vi har ingen anholdte endnu, lyder meldingen.Ofret er uden for livsfare, og politiet har været i stand til at afhøre ham, oplyser vagtchefen.Flygtede fra stedetAnmeldelsen kom klokken 19.14, og politiet kunne kort tid efter fortælle til Fyens.dk, at alt tyder alt på, at påkørslen var med vilje.Et vidne så to mænd køre fra stedet i en grå Fort Mondeo i retning mod Odense, og politiet jagter nu de to mistænkte gerningsmænd og deres motiv.Det er uvist, om de tre mænd kender hinanden i forvejen. Politiet ønsker heller ikke at oplyse et eventuelt signalement af de mistænkte.",141
12,https://ekstrabladet.dk/nyheder/krigogkatastrofer/otteaarig-dreng-draebt-af-missil/9899256,Otteårig dreng dræbt af missil,Anton Dahl,2023-08-12 08:59,Udland,"En otteårig dreng har fredag mistet livet efter et russisk missilangreb i det vestlige Ukraine.Det skriver Reuters.Drengen blev angiveligt hastet til hospitalet, men døde senere af sine kvæstelser, beretter ukrainske myndigheder.Flere andre blev såret ved angrebet, hvor et russisk missil ramte tæt på en families hjem ved byen Kolomyia, der ligger omkring 100 kilometer nord for grænsen til Rumænien.De øvrige missiler ramte et område tæt på en militær flyveplads nær byen.Rusland har ikke officielt bekræftet angrebet.Rammer civile langt fra frontenEt af de andre missiler blev skudt ned tæt på Kiev. Flere Nato-lande har leveret avancerede missilforsvars-systemer til Ukraine for at hjælpe dem med at forsvare sig mod russiske missil- og droneangreb.Missilerne var angiveligt alle på vej mod det vestlige Ukraine.Russiske missiler har flere gange ramt byer langt fra fronten, og det har ofte forårsaget civile tab.Rusland benægter, at de har til hensigt at ramme civile.",145
13,https://ekstrabladet.dk/nyheder/samfund/vejret/skybrud-truer-mulighed-for-sjaeldent-vejrfaenomen/9886624,Skybrud truer: Mulighed for sjældent vejrfænomen,Jeppe Grunnan,2023-08-03 06:09,Vejret,"Juli regnede væk, og den våde vejr-tendens ser ud til at fortsætte ind i årets sidste sommermåned.Torsdag byder menuen blandt andet på lokale skybrud, men også kraftig regn.- Der kan komme en del nedbør lokalt. Lige nu er der udsendt en risikomelding for Jylland, siger vagthavende meteorolog Jesper Eriksen.Ifølge DMI kan der falde op imod 35 millimeter på seks timer i den vestlige del af landet.Tornadoernes lillebrorImellem de våde og grå skyer kan der torsdag opstå et relativt sjældent vejrfænomen torsdag.- En dag som i dag kan der opstå skypumper. Hvis de kommer, så varer de cirka fire minutter og forsvinder hurtigt igen, fortæller meteorolog Jesper Eriksen.- Det er tornadoernes lillebror, som man skal have respekt for. Hvis man ser en skypumpe skal man ikke prøve at fange den. Skypumper opstår som regel, når der er byger og rolige vindforhold. De opstår typisk i starten af efteråret.Temperaturen ligger torsdag omkring 15-19 grader.",152
14,https://ekstrabladet.dk/nyheder/samfund/flere-byer-evakueret-paa-ferieoe/9906046,Flere byer evakueret på ferieø,/ritzau/,2023-08-16 09:45,samfund,"På den kanariske ø Tenerife er fire byer blevet evakueret, efter at en skovbrand tirsdag aften brød ud på den nordvestlige del af øen.Det skriver Reuters.Skovbranden startede i en naturpark, som ligger omkring vulkanen Mount Teide, og onsdag har de spanske myndigheder beordret evakuering af de fire byer.Det gælder byerne Arrate, Chivisaya, Media Montaña og Ajafona.Branden bevægede sig gennem et skovområde med stejle kløfter, hvilket nu har besværliggjort brandvæsenets opgave, melder Reuters.- Denne brand kan blive enormt stor, vi har bedt om yderligere hjælp, siger borgmester på Tenerife Rosa Davila i lokalradio, ifølge Reutes.- Den påvirker primært Corona Forestal (naturpark, red.), hvor der er en masse fyrretræer og skov. Det er et stejlt område, og fly er nødvendige, siger borgmesteren.Ifølge Reuters er det blevet oplyst i lokalradio på øen, at helikoptere har sprøjtet vand ud over området med brand.Onsdag morgen havde branden ødelagt omkring 130 hektar land tæt på vulkanen Teide, som er Spaniens højeste punkt.",156
15,https://ekstrabladet.dk/krimi/26-aarig-amok-paa-tankstation/9904383,26-årig amok på tankstation,Petra Akullu,2023-08-15 12:27,krimi,"Mandag formiddag gik en 26-årig mand amok på en tankstation i Ringstedgade i Roskilde.Her var han først inde for at købe cigaretter. Da han kom ud derfra, tændte han op i en cigaret, som der ikke var betalt for.Det endte dog ikke her. For han begyndte pludselig at smadre ting på tankstationens område og i butikken.Det oplyser Midt- og Vestsjællands Politi i døgnrapporten.AnholdtHan formåede at hive tankpistolerne ud af holderne, vælte skraldespande og blomster.Inde i butikken væltede han et kortstativ, en udstilling med energidrikke og smadrede en flaske vin.'En patrulje kom hurtigt frem og anholdte en 26-årig mand fra Slagelse, som blev taget med til politistationen.''Han var oprevet og fik lov at køle af i detentionen, hvorefter en patrulje kørte ham hjem til nogle pårørende,' skriver politikredsen i rapporten.SigtetManden blev sigtet for hærværk og tyveri af cigaretter.Tankstationen vil opgøre et erstatningskrav mod den 26-årige. Derfor kan gerningsmanden se frem til at høre mere i sagen.Politiet fik anmeldelsen mandag klokken 11.38.",160
16,https://ekstrabladet.dk/underholdning/dkkendte/karsten-ree-har-kraeft/5512645,Karsten Ree har kræft,Jan Körner,2015-04-08 12:28,Underholdning,"Karsten Ree og hans tilkommende, Oddset-Janni er i sorg.Milliardæren har fået konstateret kræft i blæren, bekræfter Oddset-Janni overfor Ekstra Bladet.- Det er i blæren, siger Oddset-Janni til Ekstra Bladet, der tidligere på dagen ringede til parret for at høre, om det var rigtigt, at Ree var blevet ramt af den frygtede sygdom.- Jeg kunne ikke bekræfte det før. Men jeg havde lovet Karsten ikke at sige noget. Han har lige sendt en pressemeddelelse ud, siger Janni.Sygdommen får dog ikke indflydelse på deres bryllupsplaner. - Vi skal giftes og det bliver meget snart, siger Janni.- Er det dødeligt?- Det har ikke spredt sig.Overfor Newspaq bekræfter Karsten Ree, at han er syg. Janni: - Selvfølgelig skal Karsten have særeje- Jeg kan bekræfte, at jeg har fået konstateret sygdommen kræft. Jeg er nu i behandling og har ikke yderligere bemærkninger, siger han til nyhedsbureauet.Den 69-årige erhvervsmand beder i samme mail om forståelse for sin svære situation.- Pressen bedes respektere, at jeg ønsker fred lige nu, siger han i pressemeddelelsen.",166
17,https://ekstrabladet.dk/nyheder/samfund/vulkanudbrud-skaber-flykaos/9902868,Vulkanudbrud skaber flykaos,Petra Akullu,2023-08-14 10:56,samfund,"Der er gang i vulkanen Etna på Sicilien endnu en gang.Tidligt mandag morgen kunne man derfor se lava lyse nattehimlen op, oplyser Reuters.Den aktive vulkan har også ført en del aske med sig, som har spredt sig til den østlige del af den italienske ø, skriver det britiske medie Independent.Påvirker flytrafikkenDet er desværre ikke uden problemer, at Etna viser tænder.For flyafgange til og fra Catania lufthavn - som er placeret cirka 50 kilometer syd for vulkanen - er blevet omdirigeret, forsinket eller aflyst.'Vi beklager, at dit fly er forsinket. Det skyldes vulkanaktivitet i Catania, som fører restriktioner med sig i områder, hvor luftfartøjer har tilladelse til at flyve,' lød beskeden mandag morgen.LukketNatten til mandag aften var Catania lufthavn lukket helt ned.Det sker efter, at lufthavnen var nødt til at lukke ned fra midt-juli til start-august grundet brandskader.Comiso lufthavn, som ligger 150 kilometer væk fra Etna, er også påvirket af udbruddet.Her skal man ikke regne med at komme afsted til den planlagte tid, da flere afgange er forsinkede.",167
18,https://ekstrabladet.dk/krimi/undersoeger-muligt-skyderi-i-vanloese/9905415,Skud affyret i Vanløse: En anholdt,Ditte O.,2023-08-16 03:54,krimi,"En ung mand er anholdt, efter at der sent tirsdag aften blev affyret skud i et villakvarter i Vanløse.Det bekræfter vagtchef ved Københavns Politi Jonathan Wald over for Ekstra Bladet.- Klokken 22.14 får vi en anmeldelse om skud i Vanløse. Da vi kommer frem, kan vi konstatere, at der er afgivet skud, men det er ikke vores vurdering, at der er nogen tilskadekomne, lyder meldingen.Artiklen fortsætter under billedet ...      Ingen er umiddelbart kommet til skade i skyderiet. Foto: Kenneth MeyerSkudepisoden fandt sted i et villakvarter på Lønstrupvej.- Vi får hurtigt derefter flere anmeldelser fra vidner, der har set eller hørt noget, og den videre efterforskning fører til, at vi ret hurtigt kan anholde en person, fortæller Jonathan Wald.Vagtchefen vil ikke kommentere, hvad eller hvem der er blevet skudt imod, eller om den anholdte er kendt af politiet i forvejen.- Det er en del af efterforskningen, siger Jonathan Wald.      Billeder fra stedet viser mindst en patron ligge på jorden. Foto: Kenneth Meyer      Politiet undersøger området efter meldinger om skyderi. Foto: Kenneth Meyer",171
19,https://ekstrabladet.dk/nationen/saetter-ild-til-koran-igen-islam-vokser/9904265,Brænder endnu en koran: Islam vokser,Thomas Harder,2023-08-15 09:33,sport,"- Allah er stor...Sådan skriver Jahangir A. i en af de 362 kommentarer, der er skrevet på Al-Jazeeras Facebook-profil om den koran, der blev brændt i går i Stockholm foran kongeslottet.  Koran-brænder med vild planDet øger popularitetenIgen var det Salwan Momika og Salwan Najem - der begge har irakisk baggrund - der først sparkede til og siden futtede et eksomplar af muslimernes hellige bog af. Moddemonstranterne havde ligesom de to bogbrændere medbragt megafoner, og læser man videre i de mange kommentarer, så er der en del der mener, at koran-afbrændingerne vil give muslimerne mere medvind. Leder af en kristen militis?- På trods af alt det her fortsætter islam med at vokse, skriver Faris A og Umar U. er helt enig:- Det her vil ikke forhindre islam i at sprede sig i Sverige - det øger endda populariteten, skriver Umar. Al-Jazeera skriver, at de svenske udlændingemyndigheder har genåbnet Momikas opholdssag på baggrund af videoptagelser, der antyder at han har haft en ledende rolle i en kristen gruppering i hjemlandet, men hvad tror du?",172
